EPI ISL 99050|A/Florida/48/2010|2010-12-09                        6.18  3.18  5.12  4.77  4.06  7.42  2.12  8.48  6.01  7.77  1.59  8.30  3.53  4.42  4.95  6.89  5.65  4.42  1.94  3.18   566 
EPI ISL 90823|A/Kansas/08/2011|2011-03-29                         5.83  3.18  5.12  4.77  4.06  7.42  2.12  8.30  6.18  8.13  1.59  8.30  3.36  4.42  4.77  7.07  5.65  4.59  1.94  3.18   566 
EPI ISL 142132|A/Florida/3172/2012|2012-12-18                     5.83  3.18  5.30  4.95  4.06  7.42  2.12  8.48  5.65  7.77  1.41  7.95  3.53  4.42  4.95  7.24  6.01  4.59  1.94  3.18   566 
EPI ISL 120838|A/Rhode Island/05/2012|2012-04-17                  6.01  3.18  5.30  4.77  4.06  7.42  2.12  8.30  6.36  7.77  1.41  8.13  3.53  4.24  4.77  6.89  5.83  4.77  1.94  3.18   566 
EPI ISL 116074|A/Iowa/07/2012|2012-03-05                          6.01  3.18  5.30  4.77  3.89  7.24  2.12  8.30  6.18  7.95  1.59  8.30  3.53  4.42  4.77  6.89  5.83  4.59  1.94  3.18   566 
EPI ISL 89802|A/New Hampshire/02/2011|2011-01-13                  5.48  3.18  5.12  4.95  4.06  7.24  2.12  8.48  6.18  7.77  1.41  8.30  3.53  4.42  4.77  7.07  6.18  4.59  1.94  3.18   566 
EPI ISL 79336|A/Alabama/05/2010|2010-07-13                        5.84  3.19  5.31  4.78  4.07  7.43  2.12  8.50  6.37  7.79  1.42  7.96  3.54  4.42  4.60  7.08  5.84  4.60  1.95  3.19   565 
EPI ISL 136621|A/Alabama/05/2010|2010-07-13                       5.84  3.19  5.31  4.78  4.07  7.43  2.12  8.50  6.37  7.79  1.42  7.96  3.54  4.42  4.60  7.08  5.84  4.60  1.95  3.19   565 
EPI ISL 81372|A/Alabama/05/2010|2010-07-13                        5.83  3.18  5.30  4.77  4.06  7.42  2.12  8.48  6.36  7.77  1.41  8.13  3.53  4.42  4.59  7.07  5.83  4.59  1.94  3.18   566 
EPI ISL 79321|A/Texas/04/2010|2010-07-21                          6.01  3.18  5.30  4.77  4.06  7.42  2.12  8.30  6.18  7.77  1.41  8.13  3.53  4.42  4.77  6.89  5.83  4.77  1.94  3.18   566 
EPI ISL 185286|A/Maryland/07/2010|2010-11-16                      6.01  3.18  5.30  4.77  4.06  7.60  2.12  8.48  6.18  7.77  1.41  8.13  3.53  4.42  4.77  6.71  5.83  4.59  1.94  3.18   566 
EPI ISL 89839|A/Washington/06/2011|2011-02-02                     6.02  3.19  5.31  4.78  4.07  7.43  2.12  8.50  6.19  7.79  1.42  8.14  3.54  4.42  4.78  6.90  5.84  4.42  1.95  3.19   565 
EPI ISL 89812|A/Pennsylvania/03/2011|2011-01-04                   6.04  3.20  4.97  4.80  4.09  7.46  2.13  8.53  6.22  7.82  1.42  8.35  3.37  4.44  4.80  6.93  5.86  4.44  1.95  3.20   563 
EPI ISL 116087|A/Georgia/05/2012|2012-03-04                       6.03  3.19  5.14  4.79  4.26  7.45  2.13  8.51  6.21  7.80  1.42  8.16  3.37  4.43  4.79  6.91  5.85  4.43  1.95  3.19   564 
EPI ISL 120864|A/South Carolina/09/2012|2012-04-09                6.03  3.19  5.14  4.79  4.26  7.45  2.13  8.51  6.21  7.80  1.42  8.16  3.37  4.43  4.79  6.91  5.85  4.43  1.95  3.19   564 
EPI ISL 87890|A/Maryland/01/2011|2011-01-07                       6.01  3.18  5.30  4.77  4.06  7.24  2.12  8.48  6.18  7.77  1.41  8.30  3.53  4.42  4.77  6.71  5.83  4.59  1.94  3.36   566 
EPI ISL 234879|A/USA/151-5T/2011|2011-03-28                       5.34  2.26  5.54  5.54  3.90  7.39  2.46  7.60  5.95  6.78  1.23  8.83  3.90  4.72  5.34  7.19  6.37  4.72  1.64  3.29   487 
EPI ISL 101597|A/Kansas/11/2011|2011-12-11                        5.84  3.19  5.13  4.78  4.07  7.43  2.12  8.32  6.19  7.79  1.42  8.32  3.54  4.42  4.78  6.90  6.02  4.60  1.95  3.19   565 
EPI ISL 100426|A/Colorado/15/2011|2011-11-08                      6.01  3.18  5.12  4.77  4.06  7.42  2.12  8.30  6.18  7.77  1.41  8.30  3.53  4.42  4.77  6.89  6.01  4.59  1.94  3.18   566 
EPI ISL 138253|A/Pennsylvania/03/2011|2011-01-04                  6.06  3.21  5.17  4.81  4.10  7.49  2.14  8.20  6.06  8.02  1.25  8.38  3.39  4.46  4.81  6.95  5.70  4.63  1.96  3.21   561 
EPI ISL 84033|A/California/18/2010|2010-09-03                     6.02  3.19  5.13  4.78  4.07  7.43  2.12  8.50  6.19  7.79  1.42  8.32  3.36  4.42  4.78  6.90  5.84  4.60  1.95  3.19   565 
EPI ISL 87877|A/Illinois/01/2010|2010-12-24                       6.02  3.19  5.13  4.78  4.07  7.43  2.12  8.50  6.19  7.79  1.42  8.32  3.36  4.42  4.78  6.90  5.84  4.60  1.95  3.19   565 
EPI ISL 185534|A/Florida/43/2010|2010-12-29                       6.02  3.19  5.13  4.78  4.07  7.43  2.12  8.50  6.19  7.79  1.42  8.32  3.36  4.42  4.78  6.90  5.84  4.60  1.95  3.19   565 
EPI ISL 87910|A/Wisconsin/01/2011|2011-01-06                      5.84  3.19  5.13  4.78  4.07  7.43  2.12  8.50  6.19  7.79  1.42  8.32  3.36  4.42  4.78  7.08  5.84  4.60  1.95  3.19   565 
EPI ISL 87732|A/Colorado/AF2700/2010|2010-12-17                   6.50  2.50  4.50  3.00  3.75  8.00  2.00  8.00  5.00  7.25  1.25  8.75  5.00  4.75  5.25  8.25  6.50  5.00  1.75  3.00   400 
EPI ISL 153641|A/Texas/3435/2013|2013-01-14                       5.83  3.18  5.30  4.95  4.06  7.42  2.12  8.66  6.01  7.77  1.41  8.13  3.53  4.42  4.77  7.07  5.83  4.42  1.94  3.18   566 
EPI ISL 160559|A/Boston/YGA 02015/2012|2012-12-31                 5.83  3.18  5.30  4.95  4.06  7.42  2.12  8.48  5.83  7.77  1.41  8.13  3.53  4.42  4.95  7.07  5.83  4.59  1.94  3.18   566 
EPI ISL 90864|A/West Virginia/05/2011|2011-03-29                  5.83  3.18  5.12  4.95  4.06  7.42  2.12  8.48  6.01  7.77  1.41  8.30  3.53  4.42  4.77  7.07  5.83  4.59  1.94  3.18   566 
EPI ISL 160401|A/Boston/YGA 01111/2013|2013-01-01                 5.83  3.18  5.30  4.95  4.06  7.42  2.12  8.48  6.01  7.77  1.41  8.30  3.53  4.42  4.77  6.89  5.83  4.59  1.94  3.18   566 
EPI ISL 136050|A/Georgia/3114/2012|2012-11-26                     5.64  3.09  5.45  5.09  4.00  7.64  2.18  8.18  6.00  7.45  1.27  8.36  3.64  4.55  4.91  7.09  5.82  4.55  2.00  3.09   550 
EPI ISL 187445|A/Wisconsin/V131188/2013|2013-02-01                5.83  3.18  5.30  4.95  4.06  7.42  2.12  8.48  6.01  7.77  1.41  8.13  3.53  4.42  4.77  7.07  5.83  4.59  1.94  3.18   566 
EPI ISL 90832|A/Minnesota/08/2011|2011-03-18                      5.83  3.18  5.12  4.77  4.06  7.42  2.12  8.30  6.18  7.95  1.41  8.30  3.36  4.42  4.77  7.07  6.01  4.59  1.94  3.18   566 
EPI ISL 108195|A/Boston/DOA69/2011|2011-03-02                     5.65  3.18  5.12  4.77  4.06  7.42  2.12  8.30  6.18  7.77  1.41  8.30  3.53  4.42  4.77  7.07  6.18  4.59  1.94  3.18   566 
EPI ISL 187454|A/Rochester/0021/2010|2010-12-28                   5.83  3.18  4.95  4.77  4.06  7.42  2.12  8.30  6.18  7.77  1.41  8.48  3.53  4.42  4.77  7.07  6.01  4.59  1.94  3.18   566 
EPI ISL 190177|A/Rochester/F075/2011|2011-01-31                   5.83  3.18  4.95  4.77  4.06  7.42  2.12  8.30  6.18  7.77  1.41  8.48  3.53  4.42  4.77  7.07  6.01  4.59  1.94  3.18   566 
EPI ISL 89842|A/Wisconsin/13/2011|2011-03-06                      5.83  3.18  5.12  4.77  4.06  7.42  2.12  8.30  6.18  7.77  1.41  8.30  3.53  4.42  4.77  7.07  6.01  4.59  1.94  3.18   566 
EPI ISL 185696|A/Virginia/05/2010|2010-12-27                      5.83  3.18  5.12  4.77  3.89  7.42  2.12  8.48  6.18  7.77  1.41  8.30  3.53  4.42  4.77  7.24  5.83  4.59  1.94  3.18   566 
EPI ISL 90863|A/Washington/10/2011|2011-03-08                     5.83  3.18  5.12  4.77  3.89  7.42  2.12  8.48  6.18  7.77  1.41  8.30  3.53  4.42  4.77  7.24  5.83  4.59  1.94  3.18   566 
EPI ISL 87760|A/South Carolina/AF2723/2011|2011-01-03             6.25  2.50  4.50  3.00  3.50  8.00  2.00  8.00  5.00  7.25  1.25  8.75  5.00  4.75  5.25  8.50  6.75  5.00  1.75  3.00   400 
EPI ISL 87754|A/Massachusetts/AF2713/2011|2011-01-10              6.25  2.50  4.50  3.00  3.50  8.00  2.00  8.00  5.00  7.25  1.25  8.75  5.00  4.75  5.25  8.50  6.75  5.00  1.75  3.00   400 
EPI ISL 87724|A/Hawaii/AF2684/2010|2010-09-16                     6.25  2.50  4.50  3.00  3.75  8.00  2.00  7.75  5.00  7.25  1.50  8.75  5.00  4.75  5.25  8.25  6.75  5.00  1.75  3.00   400 
EPI ISL 369516|A/New York/WC-LVD-10-010/2010|2010-12-27           5.83  3.18  5.12  4.77  4.06  7.42  2.12  8.30  6.18  7.77  1.59  8.30  3.53  4.42  4.77  7.07  5.83  4.59  1.94  3.18   566 
EPI ISL 90868|A/Wyoming/08/2011|2011-03-23                        5.83  3.18  5.12  4.77  4.06  7.60  2.12  8.48  6.18  7.77  1.41  8.30  3.53  4.42  4.77  6.89  5.83  4.59  1.94  3.18   566 
EPI ISL 84074|A/Wisconsin/14/2010|2010-11-02                      5.83  3.18  5.12  4.77  4.06  7.42  2.12  8.48  6.01  7.77  1.41  8.30  3.53  4.42  4.95  7.07  5.83  4.59  1.94  3.18   566 
EPI ISL 93659|A/District of Columbia/WRAIR1753P/2010|2010-09-11   5.65  3.18  5.12  4.77  4.06  7.42  2.12  8.48  6.18  7.77  1.41  8.30  3.53  4.42  4.77  7.07  5.83  4.77  1.94  3.18   566 
EPI ISL 85819|A/Alabama/10/2010|2010-11-07                        5.85  3.19  4.96  4.79  4.08  7.45  2.13  8.51  6.21  7.80  1.42  8.16  3.55  4.43  4.79  7.09  5.85  4.61  1.95  3.19   564 
EPI ISL 87756|A/Nevada/AF2715/2011|2011-01-18                     6.25  2.50  4.50  3.00  3.75  8.00  2.00  8.00  5.00  7.25  1.25  8.75  5.00  4.75  5.25  8.25  6.75  5.00  1.75  3.00   400 
EPI ISL 87900|A/Hawaii/22/2010|2010-10-11                         5.83  3.18  5.12  4.77  4.06  7.42  2.12  8.48  6.18  7.77  1.41  8.30  3.53  4.42  4.77  7.07  5.83  4.59  1.94  3.18   566 
EPI ISL 85587|A/Utah/12/2010|2010-12-04                           5.83  3.18  5.12  4.77  4.06  7.42  2.12  8.48  6.18  7.77  1.41  8.30  3.53  4.42  4.77  7.07  5.83  4.59  1.94  3.18   566 
EPI ISL 136576|A/Wyoming/04/2010|2010-08-03                       5.83  3.18  5.12  4.77  4.06  7.42  2.12  8.48  6.18  7.77  1.41  8.30  3.53  4.42  4.77  7.07  5.83  4.59  1.94  3.18   566 
EPI ISL 84039|A/Florida/17/2010|2010-08-20                        5.83  3.18  5.12  4.77  4.06  7.42  2.12  8.48  6.18  7.77  1.41  8.30  3.53  4.42  4.77  7.07  5.83  4.59  1.94  3.18   566 
EPI ISL 84065|A/Indiana/04/2010|2010-09-02                        5.83  3.18  5.12  4.77  4.06  7.42  2.12  8.48  6.18  7.77  1.41  8.30  3.53  4.42  4.77  7.07  5.83  4.59  1.94  3.18   566 
EPI ISL 85592|A/Montana/05/2010|2010-12-09                        5.83  3.18  5.12  4.77  4.06  7.42  2.12  8.48  6.18  7.77  1.41  8.30  3.53  4.42  4.77  7.07  5.83  4.59  1.94  3.18   566 
EPI ISL 87897|A/Utah/01/2011|2011-01-18                           5.83  3.18  5.12  4.77  4.06  7.42  2.12  8.48  6.18  7.77  1.41  8.30  3.53  4.42  4.77  7.07  5.83  4.59  1.94  3.18   566 
EPI ISL 90826|A/Maine/05/2011|2011-02-03                          5.83  3.18  5.12  4.77  4.06  7.42  2.12  8.48  6.18  7.77  1.41  8.30  3.53  4.42  4.77  7.07  5.83  4.59  1.94  3.18   566 
EPI ISL 90822|A/Iowa/05/2011|2011-04-01                           5.83  3.18  5.12  4.77  4.06  7.42  2.12  8.48  6.18  7.77  1.41  8.30  3.53  4.42  4.77  7.07  5.83  4.59  1.94  3.18   566 
EPI ISL 108234|A/Boston/DOA78/2011|2011-03-14                     5.83  3.18  5.12  4.77  4.06  7.42  2.12  8.48  6.18  7.77  1.41  8.30  3.53  4.42  4.77  7.07  5.83  4.59  1.94  3.18   566 
EPI ISL 89798|A/Montana/05/2011|2011-03-02                        5.83  3.18  5.12  4.77  4.06  7.42  2.12  8.48  6.18  7.77  1.41  8.30  3.53  4.42  4.77  7.07  5.83  4.59  1.94  3.18   566 
EPI ISL 98645|A/South Dakota/03/2011|2011-09-23                   5.83  3.18  5.12  4.77  4.06  7.42  2.12  8.48  6.18  7.77  1.41  8.30  3.53  4.42  4.77  7.07  5.83  4.59  1.94  3.18   566 
EPI ISL 90839|A/Montana/07/2011|2011-04-05                        5.83  3.18  5.12  4.77  4.06  7.42  2.12  8.48  6.18  7.77  1.41  8.30  3.53  4.42  4.77  7.07  5.83  4.59  1.94  3.18   566 
EPI ISL 138258|A/Texas/24/2010|2010-12-31                         5.88  3.21  5.17  4.81  4.10  7.49  2.14  8.20  6.06  7.84  1.25  8.38  3.57  4.46  4.81  7.13  5.70  4.63  1.96  3.21   561 
EPI ISL 138257|A/Texas/24/2010|2010-12-31                         5.88  3.21  5.17  4.81  4.10  7.49  2.14  8.20  6.06  7.84  1.25  8.38  3.57  4.46  4.81  7.13  5.70  4.63  1.96  3.21   561 
EPI ISL 138248|A/Arizona/07/2011|2011-02-18                       6.06  3.21  5.17  4.81  4.10  7.49  2.14  8.02  6.06  7.84  1.25  8.56  3.57  4.46  4.81  6.77  5.70  4.81  1.96  3.21   561 
EPI ISL 89796|A/Mississippi/06/2011|2011-03-15                    6.01  3.18  5.12  4.77  4.06  7.42  2.12  8.30  6.18  7.77  1.59  8.48  3.53  4.42  4.77  6.71  5.83  4.59  1.94  3.18   566 
EPI ISL 86085|A/Texas/21/2010|2010-12-28                          5.84  3.19  5.13  4.78  4.07  7.43  2.12  8.50  6.19  7.79  1.42  8.50  3.54  4.42  4.78  6.73  5.84  4.60  1.95  3.19   565 
EPI ISL 185013|A/Texas/21/2010|2010-12-28                         5.84  3.19  5.13  4.78  4.07  7.43  2.12  8.50  6.19  7.79  1.42  8.50  3.54  4.42  4.78  6.73  5.84  4.60  1.95  3.19   565 
EPI ISL 86093|A/Arizona/13/2010|2010-12-06                        6.01  3.18  5.12  4.77  4.06  7.42  2.12  8.30  6.18  7.77  1.41  8.48  3.53  4.42  4.77  6.71  6.01  4.59  1.94  3.18   566 
EPI ISL 93769|A/Arizona/13/2010|2010-12-06                        6.01  3.18  5.12  4.77  4.06  7.42  2.12  8.30  6.18  7.77  1.41  8.48  3.53  4.42  4.77  6.71  6.01  4.59  1.94  3.18   566 
EPI ISL 86078|A/Indiana/08/2010|2010-12-19                        6.01  3.18  5.12  4.77  4.06  7.42  2.12  8.48  6.18  7.77  1.41  8.48  3.53  4.42  4.77  6.71  5.83  4.59  1.94  3.18   566 
EPI ISL 87894|A/California/34/2010|2010-12-14                     6.01  3.18  5.12  4.77  4.06  7.42  2.12  8.48  6.18  7.77  1.41  8.48  3.53  4.42  4.77  6.71  5.83  4.59  1.94  3.18   566 
EPI ISL 90809|A/Arizona/03/2011|2011-02-17                        6.01  3.18  5.12  4.77  4.06  7.42  2.12  8.48  6.18  7.77  1.41  8.48  3.53  4.42  4.77  6.71  5.83  4.59  1.94  3.18   566 
EPI ISL 89762|A/Delaware/03/2011|2011-01-23                       6.03  3.19  5.14  4.79  4.08  7.45  1.95  8.51  6.21  7.80  1.42  8.16  3.55  4.43  4.79  6.91  5.85  4.61  1.95  3.19   564 
EPI ISL 89819|A/Rhode Island/04/2011|2011-01-31                   6.02  3.19  5.13  4.78  4.07  7.43  2.12  8.50  6.19  7.79  1.42  8.14  3.54  4.42  4.78  6.90  5.84  4.60  1.95  3.19   565 
EPI ISL 187899|A/Utah/04/2010|2010-09-12                          6.02  3.19  5.13  4.78  4.07  7.43  2.12  8.67  6.19  7.61  1.42  8.14  3.54  4.42  4.78  6.90  5.84  4.60  1.95  3.19   565 
EPI ISL 84041|A/Utah/04/2010|2010-09-12                           6.02  3.19  5.13  4.78  4.07  7.43  2.12  8.67  6.19  7.61  1.42  8.14  3.54  4.42  4.78  6.90  5.84  4.60  1.95  3.19   565 
EPI ISL 90820|A/Idaho/05/2011|2011-03-06                          5.83  3.18  5.12  4.77  4.06  7.42  2.12  8.30  6.18  7.77  1.59  8.30  3.53  4.42  4.77  6.89  6.01  4.59  1.94  3.18   566 
EPI ISL 87965|A/Alaska/10/2011|2011-02-04                         5.83  3.18  5.12  4.77  4.06  7.42  2.12  8.48  6.18  7.77  1.41  8.30  3.53  4.42  4.77  6.89  6.01  4.59  1.94  3.18   566 
EPI ISL 90806|A/Alaska/15/2011|2011-03-01                         5.83  3.18  5.12  4.77  4.06  7.42  2.12  8.48  6.18  7.77  1.41  8.30  3.53  4.42  4.77  6.89  6.01  4.59  1.94  3.18   566 
EPI ISL 98827|A/Indiana/09/2011|2011-10-03                        6.01  3.18  5.12  4.77  4.06  7.42  2.30  8.66  6.18  7.77  1.41  8.30  3.36  4.42  4.77  6.89  5.83  4.42  1.94  3.18   566 
EPI ISL 100442|A/Nebraska/14/2011|2011-11-02                      6.18  3.18  5.12  4.77  3.89  7.42  2.12  8.48  6.18  7.77  1.41  8.30  3.53  4.42  4.77  7.07  5.83  4.42  1.94  3.18   566 
EPI ISL 87739|A/Texas/AF2726/2010|2010-12-21                      6.50  2.50  4.50  3.00  3.75  8.00  2.00  8.00  5.25  7.25  1.25  8.50  5.00  4.75  5.25  8.00  6.75  5.00  1.75  3.00   400 
EPI ISL 120860|A/Virginia/10/2012|2012-04-04                      6.01  3.18  5.12  4.77  4.06  7.42  2.12  8.30  6.18  7.77  1.41  8.30  3.53  4.42  4.77  6.89  5.83  4.77  1.94  3.18   566 
EPI ISL 158624|A/Tennessee/F2018/2011|2011-01-21                  6.01  3.18  5.12  4.77  4.06  7.42  2.12  8.66  6.18  7.77  1.41  8.30  3.53  4.42  4.77  6.89  5.83  4.42  1.94  3.18   566 
EPI ISL 90825|A/Louisiana/02/2011|2011-02-17                      6.01  3.18  5.12  4.77  4.06  7.42  2.12  8.30  6.18  7.95  1.41  8.30  3.53  4.42  4.77  6.89  5.83  4.59  1.94  3.18   566 
EPI ISL 89769|A/Florida/11/2011|2011-03-17                        6.01  3.18  5.12  4.77  4.06  7.42  2.12  8.48  6.01  7.77  1.41  8.30  3.53  4.42  4.95  6.89  5.83  4.59  1.94  3.18   566 
EPI ISL 100436|A/Kentucky/05/2011|2011-11-04                      5.83  3.18  5.12  4.77  4.06  7.42  2.12  8.48  6.18  7.77  1.41  8.30  3.53  4.42  4.77  7.07  5.83  4.59  1.94  3.18   566 
EPI ISL 84097|A/South Dakota/01/2010|2010-08-13                   5.83  3.18  5.12  4.77  4.06  7.42  2.12  8.48  6.18  7.77  1.41  8.30  3.53  4.42  4.77  7.07  5.83  4.59  1.94  3.18   566 
EPI ISL 85828|A/South Dakota/02/2010|2010-12-15                   6.01  3.18  5.12  4.77  3.89  7.42  2.12  8.48  6.18  7.77  1.41  8.30  3.53  4.42  4.77  6.89  5.83  4.59  1.94  3.36   566 
EPI ISL 99031|A/Pennsylvania/43/2010|2010-11-23                   6.01  3.18  5.12  4.77  4.06  7.24  2.12  8.48  6.18  7.77  1.41  8.30  3.53  4.42  4.77  7.07  5.83  4.59  1.94  3.18   566 
EPI ISL 99030|A/Pennsylvania/43/2010|2010-11-23                   6.01  3.18  5.12  4.77  4.06  7.24  2.12  8.48  6.18  7.77  1.41  8.30  3.53  4.42  4.77  7.07  5.83  4.59  1.94  3.18   566 
EPI ISL 85594|A/Georgia/19/2010|2010-11-24                        6.01  3.18  5.12  4.77  4.06  7.42  2.12  8.48  6.18  7.77  1.41  8.30  3.36  4.59  4.77  6.89  5.83  4.59  1.94  3.18   566 
EPI ISL 122013|A/Missouri/02/2012|2012-01-17                      6.01  3.18  5.12  4.77  4.06  7.42  2.12  8.48  6.18  7.60  1.41  8.30  3.71  4.42  4.77  6.89  5.83  4.59  1.94  3.18   566 
EPI ISL 134777|A/South Carolina/24/2012|2012-10-29                6.01  3.18  4.95  4.77  4.06  7.42  2.12  8.30  6.18  7.95  1.41  8.30  3.36  4.42  4.77  6.89  6.01  4.59  1.94  3.36   566 
EPI ISL 142163|A/New York/3207/2012|2012-12-24                    6.01  3.18  4.95  4.95  4.06  7.24  2.12  8.30  6.18  7.77  1.41  8.30  3.53  4.42  4.77  6.89  6.01  4.59  1.94  3.36   566 
EPI ISL 89761|A/Connecticut/03/2011|2011-02-06                    6.01  3.18  5.12  4.77  4.24  7.42  2.12  8.48  6.18  7.77  1.41  8.30  3.53  4.42  4.77  6.71  5.83  4.59  1.94  3.18   566 
EPI ISL 89829|A/Vermont/03/2011|2011-01-27                        6.01  3.18  5.12  4.77  4.24  7.42  2.12  8.48  6.18  7.77  1.41  8.30  3.53  4.42  4.77  6.71  5.83  4.59  1.94  3.18   566 
EPI ISL 122011|A/Utah/15/2012|2012-05-16                          6.01  3.18  5.12  4.77  4.06  7.42  2.12  8.48  6.18  7.77  1.41  8.30  3.53  4.42  4.77  6.89  5.83  4.59  1.94  3.18   566 
EPI ISL 108370|A/Maryland/05/2012|2012-03-05                      6.01  3.18  5.12  4.77  4.06  7.42  2.12  8.48  6.18  7.77  1.41  8.30  3.53  4.42  4.77  6.89  5.83  4.59  1.94  3.18   566 
EPI ISL 119714|A/Arizona/07/2012|2012-04-05                       6.01  3.18  4.95  4.77  4.06  7.42  2.12  8.48  6.18  7.77  1.41  8.48  3.53  4.42  4.77  6.89  5.83  4.59  1.94  3.18   566 
EPI ISL 235245|A/Oklahoma/31/2012|2012-03-01                      6.01  3.18  5.12  4.77  4.06  7.42  2.12  8.48  6.18  7.77  1.41  8.30  3.53  4.42  4.77  6.89  5.83  4.59  1.94  3.18   566 
EPI ISL 158627|A/Tennessee/F2019A/2011|2011-01-24                 6.01  3.18  5.12  4.77  4.06  7.42  2.12  8.48  6.18  7.77  1.41  8.30  3.53  4.42  4.77  6.89  5.83  4.59  1.94  3.18   566 
EPI ISL 89843|A/Wyoming/07/2011|2011-02-17                        6.01  3.18  5.12  4.77  4.06  7.42  2.12  8.48  6.18  7.77  1.41  8.30  3.53  4.42  4.77  6.89  5.83  4.59  1.94  3.18   566 
EPI ISL 369506|A/New York/WC-LVD-11-002/2011|2011-01-10           6.01  3.18  5.12  4.77  4.06  7.42  2.12  8.48  6.18  7.77  1.41  8.30  3.53  4.42  4.77  6.89  5.83  4.59  1.94  3.18   566 
EPI ISL 158662|A/Tennessee/F2048/2011|2011-02-16                  6.01  3.18  5.12  4.77  4.06  7.42  2.12  8.48  6.18  7.77  1.41  8.30  3.53  4.42  4.77  6.89  5.83  4.59  1.94  3.18   566 
EPI ISL 158680|A/Tennessee/F2084c83A/2011|2011-03-23              6.01  3.18  5.12  4.77  4.06  7.42  2.12  8.48  6.18  7.77  1.41  8.30  3.53  4.42  4.77  6.89  5.83  4.59  1.94  3.18   566 
EPI ISL 87917|A/Ohio/01/2011|2011-01-17                           6.01  3.18  5.12  4.77  4.06  7.42  2.12  8.48  6.18  7.77  1.41  8.30  3.53  4.42  4.77  6.89  5.83  4.59  1.94  3.18   566 
EPI ISL 99053|A/North Dakota/06/2011|2011-02-16                   6.01  3.18  5.12  4.77  4.06  7.42  2.12  8.48  6.18  7.77  1.41  8.30  3.53  4.42  4.77  6.89  5.83  4.59  1.94  3.18   566 
EPI ISL 158629|A/Tennessee/F2021B/2011|2011-02-04                 6.01  3.18  5.12  4.77  4.06  7.42  2.12  8.48  6.18  7.77  1.41  8.30  3.53  4.42  4.77  6.89  5.83  4.59  1.94  3.18   566 
EPI ISL 108261|A/Boston/DOA75/2011|2011-03-11                     6.01  3.18  5.12  4.77  4.06  7.42  2.12  8.48  6.18  7.77  1.41  8.30  3.53  4.42  4.77  6.89  5.83  4.59  1.94  3.18   566 
EPI ISL 84077|A/Texas/07/2010|2010-10-14                          6.01  3.18  5.12  4.77  4.06  7.42  2.12  8.48  6.18  7.77  1.41  8.30  3.53  4.42  4.77  6.89  5.83  4.59  1.94  3.18   566 
